"Market","KoreanName","EnglishName","File"
"KRW-0G","제로지","0G","KRW-0G.png"
"KRW-1INCH","1인치네트워크","1inch Network","KRW-1INCH.png"
"KRW-2Z","더블제로","DoubleZero","KRW-2Z.png"
"KRW-A","볼타","Vaulta","KRW-A.png"
"KRW-ADA","에이다","Ada","KRW-ADA.png"
"KRW-AERO","에어로드롬파이낸스","Aerodrome Finance","KRW-AERO.png"
"KRW-AGLD","어드벤처골드","Adventure Gold","KRW-AGLD.png"
"KRW-AHT","아하토큰","AhaToken","KRW-AHT.png"
"KRW-AI","젠신","Gensyn","KRW-AI.png"
"KRW-AKT","아카시네트워크","Akash Network","KRW-AKT.png"
"KRW-ALGO","알고랜드","Algorand","KRW-ALGO.png"
"KRW-ALT","알트레이어","Altlayer","KRW-ALT.png"
"KRW-ASTR","아스타","Astar","KRW-ASTR.png"
"KRW-ATH","에이셔","Aethir","KRW-ATH.png"
"KRW-ATOM","코스모스","Cosmos","KRW-ATOM.png"
"KRW-AVAX","아발란체","Avalanche","KRW-AVAX.png"
"KRW-AVNT","아반티스","Avantis","KRW-AVNT.png"
"KRW-AWE","에이더블유이","AWE Network","KRW-AWE.png"
"KRW-AXL","엑셀라","Axelar","KRW-AXL.png"
"KRW-AXS","엑시인피니티","Axie Infinity","KRW-AXS.png"
"KRW-AZTEC","아즈텍","Aztec","KRW-AZTEC.png"
"KRW-B3","비쓰리","B3","KRW-B3.png"
"KRW-BABY","바빌론","Babylon","KRW-BABY.png"
"KRW-BAT","베이직어텐션토큰","Basic Attention Token","KRW-BAT.png"
"KRW-BEAM","빔","Beam","KRW-BEAM.png"
"KRW-BERA","베라체인","Berachain","KRW-BERA.png"
"KRW-BIGTIME","빅타임","Big Time","KRW-BIGTIME.png"
"KRW-BIO","바이오프로토콜","Bio Protocol","KRW-BIO.png"
"KRW-BIRB","문버드","Moonbirds","KRW-BIRB.png"
"KRW-BLAST","블라스트","Blast","KRW-BLAST.png"
"KRW-BLEND","플루언트","Fluent","KRW-BLEND.png"
"KRW-BLUR","블러","Blur","KRW-BLUR.png"
"KRW-BOR","보라","BORA","KRW-BOR.png"
"KRW-BSB","블록스트리트","Block Street","KRW-BSB.png"
"KRW-BSV","비트코인에스브이","Bitcoin SV","KRW-BSV.png"
"KRW-BTC","비트코인","Bitcoin","KRW-BTC.png"
"KRW-BTT","비트토렌트","BitTorrent","KRW-BTT.png"
"KRW-CAP","캡","Cap","KRW-CAP.png"
"KRW-CARV","카브","CARV","KRW-CARV.png"
"KRW-CBK","코박토큰","Cobak Token","KRW-CBK.png"
"KRW-CC","캔톤","Canton","KRW-CC.png"
"KRW-CELO","셀로","Celo","KRW-CELO.png"
"KRW-CFG","센트리퓨즈","Centrifuge","KRW-CFG.png"
"KRW-CFX","콘플럭스","Conflux","KRW-CFX.png"
"KRW-CHZ","칠리즈","Chiliz","KRW-CHZ.png"
"KRW-CKB","너보스","Nervos Network","KRW-CKB.png"
"KRW-COMP","컴파운드","Compound","KRW-COMP.png"
"KRW-COW","카우프로토콜","CoW Protocol","KRW-COW.png"
"KRW-CRO","크로노스","Cronos","KRW-CRO.png"
"KRW-CRV","커브","Curve","KRW-CRV.png"
"KRW-CTC","크레딧코인","Creditcoin","KRW-CTC.png"
"KRW-CVC","시빅","Civic","KRW-CVC.png"
"KRW-CYBER","사이버","Cyber","KRW-CYBER.png"
"KRW-DATA","데이터네트워크","Data Network","KRW-DATA.png"
"KRW-DEEP","딥북","DeepBook","KRW-DEEP.png"
"KRW-DKA","디카르고","dKargo","KRW-DKA.png"
"KRW-DOGE","도지코인","Dogecoin","KRW-DOGE.png"
"KRW-DOOD","두들즈","Doodles","KRW-DOOD.png"
"KRW-DOS","댑오에스","DAPPOS","KRW-DOS.png"
"KRW-DOT","폴카닷","Polkadot","KRW-DOT.png"
"KRW-DRV","디라이브","Derive","KRW-DRV.png"
"KRW-EDGE","디피니티브","Definitive","KRW-EDGE.png"
"KRW-EGLD","멀티버스엑스","MultiversX","KRW-EGLD.png"
"KRW-ELF","엘프","aelf","KRW-ELF.png"
"KRW-ELY","엘리시움","Elysium","KRW-ELY.png"
"KRW-ENA","에테나","Ethena","KRW-ENA.png"
"KRW-ENS","이더리움네임서비스","Ethereum Name Service","KRW-ENS.png"
"KRW-ENSO","엔소","Enso","KRW-ENSO.png"
"KRW-ERA","칼데라","Caldera","KRW-ERA.png"
"KRW-ETC","이더리움클래식","Ethereum Classic","KRW-ETC.png"
"KRW-ETH","이더리움","Ethereum","KRW-ETH.png"
"KRW-ETHFI","이더파이","Ether.fi","KRW-ETHFI.png"
"KRW-EUL","오일러","Euler","KRW-EUL.png"
"KRW-EURC","이유알코인","EURC","KRW-EURC.png"
"KRW-F","신퓨처스","SynFutures","KRW-F.png"
"KRW-FCT2","피르마체인","FirmaChain","KRW-FCT2.png"
"KRW-FF","팔콘파이낸스","Falcon Finance","KRW-FF.png"
"KRW-FIL","파일코인","Filecoin","KRW-FIL.png"
"KRW-FLOCK","플록","FLock.io","KRW-FLOCK.png"
"KRW-FLUID","플루이드","Fluid","KRW-FLUID.png"
"KRW-FOLD","인터폴드","The Interfold","KRW-FOLD.png"
"KRW-G","그래비티","Gravity","KRW-G.png"
"KRW-GAME2","게임빌드","GameBuild","KRW-GAME2.png"
"KRW-GAS","가스","GAS","KRW-GAS.png"
"KRW-GEOD","지오드넷","GEODNET","KRW-GEOD.png"
"KRW-GLM","골렘","Golem","KRW-GLM.png"
"KRW-GLMR","문빔","Moonbeam","KRW-GLMR.png"
"KRW-GMT","스테픈","Stepn","KRW-GMT.png"
"KRW-GRT","더그래프","The Graph","KRW-GRT.png"
"KRW-GRVT","그래비티토큰","Grvt","KRW-GRVT.png"
"KRW-HBAR","헤데라","Hedera","KRW-HBAR.png"
"KRW-HIVE","하이브","Hive","KRW-HIVE.png"
"KRW-HOLO","홀로월드에이아이","Holoworld AI","KRW-HOLO.png"
"KRW-HOME","디파이앱","Defi App","KRW-HOME.png"
"KRW-HP","히포프로토콜","Hippo Protocol","KRW-HP.png"
"KRW-HUNT","헌트","HUNT","KRW-HUNT.png"
"KRW-HYPER","하이퍼레인","Hyperlane","KRW-HYPER.png"
"KRW-ICP","인터넷컴퓨터","Internet Computer","KRW-ICP.png"
"KRW-ICX","아이콘","Icon","KRW-ICX.png"
"KRW-ID","스페이스아이디","SPACE ID","KRW-ID.png"
"KRW-IMX","이뮤터블엑스","Immutable X","KRW-IMX.png"
"KRW-IN","인피닛","Infinit","KRW-IN.png"
"KRW-INJ","인젝티브","Injective","KRW-INJ.png"
"KRW-IO","아이오넷","io.net","KRW-IO.png"
"KRW-IOST","아이오에스티","IOST","KRW-IOST.png"
"KRW-IOTA","아이오타","IOTA","KRW-IOTA.png"
"KRW-IQ","아이큐","IQ.wiki","KRW-IQ.png"
"KRW-IRYS","아이리스","Irys","KRW-IRYS.png"
"KRW-JST","저스트","JUST","KRW-JST.png"
"KRW-JTO","지토","Jito","KRW-JTO.png"
"KRW-JUP","주피터","Jupiter","KRW-JUP.png"
"KRW-KAITO","카이토","KAITO","KRW-KAITO.png"
"KRW-KAT","카타나","Katana","KRW-KAT.png"
"KRW-KAVA","카바","Kava","KRW-KAVA.png"
"KRW-KERNEL","커널다오","KernelDAO","KRW-KERNEL.png"
"KRW-KITE","카이트","Kite","KRW-KITE.png"
"KRW-KMNO","카미노파이낸스","Kamino Finance","KRW-KMNO.png"
"KRW-KNC","카이버네트워크","Kyber Network","KRW-KNC.png"
"KRW-LA","라그랑주","Lagrange","KRW-LA.png"
"KRW-LAYER","솔레이어","Solayer","KRW-LAYER.png"
"KRW-LINEA","리네아","Linea","KRW-LINEA.png"
"KRW-LINK","체인링크","Chainlink","KRW-LINK.png"
"KRW-LIT","라이터","Lighter","KRW-LIT.png"
"KRW-LPT","라이브피어","Livepeer","KRW-LPT.png"
"KRW-LSK","리스크","Lisk","KRW-LSK.png"
"KRW-MANA","디센트럴랜드","Decentraland","KRW-MANA.png"
"KRW-MANTRA","만트라","MANTRA","KRW-MANTRA.png"
"KRW-MASK","마스크네트워크","Mask Network","KRW-MASK.png"
"KRW-ME","매직에덴","Magic Eden","KRW-ME.png"
"KRW-MED","메디블록","MediBloc","KRW-MED.png"
"KRW-MEGA","메가이더","MegaETH","KRW-MEGA.png"
"KRW-MET2","메테오라","Meteora","KRW-MET2.png"
"KRW-META","메타디움","Metadium","KRW-META.png"
"KRW-META2","메타다오","MetaDAO","KRW-META2.png"
"KRW-MEW","캣인어독스월드","cat in a dogs world","KRW-MEW.png"
"KRW-MINA","미나","Mina","KRW-MINA.png"
"KRW-MIRA","미라네트워크","Mira Network","KRW-MIRA.png"
"KRW-MLK","밀크","MiL.k","KRW-MLK.png"
"KRW-MMT","모멘텀","Momentum","KRW-MMT.png"
"KRW-MNT","맨틀","Mantle","KRW-MNT.png"
"KRW-MOC","모스코인","Moss Coin","KRW-MOC.png"
"KRW-MOCA","모카네트워크","Moca Network","KRW-MOCA.png"
"KRW-MON","모나드","Monad","KRW-MON.png"
"KRW-MOOD","무뎅","Moo Deng","KRW-MOOD.png"
"KRW-MORPHO","모포","Morpho","KRW-MORPHO.png"
"KRW-MOVE","무브먼트","Movement","KRW-MOVE.png"
"KRW-MVL","엠블","MVL","KRW-MVL.png"
"KRW-NCT","폴리스웜","Polyswarm","KRW-NCT.png"
"KRW-NEO","네오","NEO","KRW-NEO.png"
"KRW-NEWT","뉴턴프로토콜","Newton Protocol","KRW-NEWT.png"
"KRW-NXPC","넥스페이스","Nexpace","KRW-NXPC.png"
"KRW-O","오원익스체인지","o1.exchange","KRW-O.png"
"KRW-ON","온톨로지","Ontology","KRW-ON.png"
"KRW-ONDO","온도파이낸스","Ondo Finance","KRW-ONDO.png"
"KRW-ONG","온톨로지가스","ONG","KRW-ONG.png"
"KRW-OP","옵티미즘","Optimism","KRW-OP.png"
"KRW-OPEN","오픈렛저","OpenLedger","KRW-OPEN.png"
"KRW-OPG","오픈그라디언트","OpenGradient","KRW-OPG.png"
"KRW-ORBS","오브스","Orbs","KRW-ORBS.png"
"KRW-ORCA","오르카","Orca","KRW-ORCA.png"
"KRW-ORDER","오덜리","Orderly","KRW-ORDER.png"
"KRW-PAX","팍스골드","PAX Gold","KRW-PAX.png"
"KRW-PENDLE","펜들","Pendle","KRW-PENDLE.png"
"KRW-PENGU","펏지펭귄","Pudgy Penguins","KRW-PENGU.png"
"KRW-PEPE","페페","Pepe","KRW-PEPE.png"
"KRW-PIEVERSE","파이버스","Pieverse","KRW-PIEVERSE.png"
"KRW-PLUME","플룸","Plume","KRW-PLUME.png"
"KRW-POKT","포켓네트워크","Pocket Network","KRW-POKT.png"
"KRW-POL","폴리곤에코시스템토큰","Polygon Ecosystem Token","KRW-POL.png"
"KRW-POLYX","폴리매쉬","Polymesh","KRW-POLYX.png"
"KRW-POWR","파워렛저","Power ledger","KRW-POWR.png"
"KRW-PROM","프롬","Prom","KRW-PROM.png"
"KRW-PUMP","펌프펀","Pump.fun","KRW-PUMP.png"
"KRW-PUNDIX","펀디엑스","Pundi X","KRW-PUNDIX.png"
"KRW-PYTH","피스네트워크","Pyth Network","KRW-PYTH.png"
"KRW-QKC","쿼크체인","QuarkChain","KRW-QKC.png"
"KRW-QTUM","퀀텀","Qtum","KRW-QTUM.png"
"KRW-QUID","스퀴드","Squid","KRW-QUID.png"
"KRW-RAD","래드웍스","Radworks","KRW-RAD.png"
"KRW-RAY","레이디움","Raydium","KRW-RAY.png"
"KRW-RE","리","Re","KRW-RE.png"
"KRW-RED","레드스톤","RedStone","KRW-RED.png"
"KRW-RENDER","렌더토큰","Render Token","KRW-RENDER.png"
"KRW-RLUSD","리플유에스디","Ripple USD","KRW-RLUSD.png"
"KRW-RVN","레이븐코인","Ravencoin","KRW-RVN.png"
"KRW-SAFE","세이프","Safe","KRW-SAFE.png"
"KRW-SAHARA","사하라에이아이","Sahara AI","KRW-SAHARA.png"
"KRW-SAND","샌드박스","The Sandbox","KRW-SAND.png"
"KRW-SC","시아코인","Siacoin","KRW-SC.png"
"KRW-SEI","세이","Sei","KRW-SEI.png"
"KRW-SENT","센티언트","Sentient","KRW-SENT.png"
"KRW-SHIB","시바이누","Shiba Inu","KRW-SHIB.png"
"KRW-SIGN","사인","Sign","KRW-SIGN.png"
"KRW-SKR","시커","Seeker","KRW-SKR.png"
"KRW-SKY","스카이프로토콜","Sky Protocol","KRW-SKY.png"
"KRW-SLX","솔스티스","Solstice","KRW-SLX.png"
"KRW-SOL","솔라나","Solana","KRW-SOL.png"
"KRW-SOMI","솜니아","Somnia","KRW-SOMI.png"
"KRW-SONIC","소닉SVM","Sonic SVM","KRW-SONIC.png"
"KRW-SOON","쑨","SOON","KRW-SOON.png"
"KRW-SOPH","소폰","Sophon","KRW-SOPH.png"
"KRW-SPK","스파크","Spark","KRW-SPK.png"
"KRW-SPX","에스피엑스6900","SPX6900","KRW-SPX.png"
"KRW-STEEM","스팀","Steem","KRW-STEEM.png"
"KRW-STX","스택스","Stacks","KRW-STX.png"
"KRW-SUI","수이","Sui","KRW-SUI.png"
"KRW-SUN","썬","SUN","KRW-SUN.png"
"KRW-SUPER","슈퍼버스","SuperVerse","KRW-SUPER.png"
"KRW-SYRUP","메이플파이낸스","Maple Finance","KRW-SYRUP.png"
"KRW-T","쓰레스홀드","Threshold","KRW-T.png"
"KRW-TAIKO","타이코","Taiko","KRW-TAIKO.png"
"KRW-TAO","비트텐서","Bittensor","KRW-TAO.png"
"KRW-THETA","쎄타토큰","Theta Token","KRW-THETA.png"
"KRW-TIA","셀레스티아","Celestia","KRW-TIA.png"
"KRW-TOSHI","토시","Toshi","KRW-TOSHI.png"
"KRW-TRAC","오리진트레일","OriginTrail","KRW-TRAC.png"
"KRW-TREE","트리하우스","Treehouse","KRW-TREE.png"
